订单ID,日期,年,月,日,季度,商品类别,子类别,商品名称,单价,数量,折扣率,总价,顾客ID,顾客姓名,省份,城市,地址,店铺,评分,支付方式,配送时间(天)
ORD-20220421-00015,2022-04-21,2022,4,21,2,服装,上衣,卫衣,1470.02,1,1.0,1470.02,CUST-24322,陶丹,江苏省,苏州市,福建省丽丽市城东杨街j座 762316,济南亿次元传媒有限公司电商店铺,4,微信支付,5
ORD-20240805-00016,2024-08-05,2024,8,5,3,食品,常规,食品商品10,897.4,1,1.0,897.4,CUST-82132,高丽娟,上海市,浦东新区,浙江省冬梅市淄川齐齐哈尔路A座 173467,天开网络有限公司电商店铺,4,信用卡,8
ORD-20230314-00017,2023-03-14,2023,3,14,1,运动,常规,运动商品8,345.98,2,0.8,553.57,CUST-69638,杨秀云,浙江省,嘉兴市,新疆维吾尔自治区六盘水市东城嘉禾街l座 646537,襄樊地球村科技有限公司电商店铺,4,微信支付,4
ORD-20230831-00018,2023-08-31,2023,8,31,3,食品,常规,食品商品8,1166.78,1,1.0,1166.78,CUST-51104,范春梅,北京市,朝阳区,甘肃省浩县秀英刘街W座 433092,精芯科技有限公司电商店铺,4,货到付款,3
ORD-20220427-00019,2022-04-27,2022,4,27,2,玩具,常规,玩具商品11,1705.66,1,0.72,1228.08,CUST-40828,马林,河南省,郑州市,新疆维吾尔自治区洁市沙湾李街K座 263193,新格林耐特传媒有限公司电商店铺,3,货到付款,2
ORD-20240508-00020,2024-05-08,2024,5,8,2,珠宝,常规,珠宝商品73,1055.11,2,1.0,2110.22,CUST-36772,龚欢,四川省,绵阳市,海南省洁市长寿宁德路B座 572628,黄石金承科技有限公司电商店铺,4,银联,8
ORD-20231010-00021,2023-10-10,2023,10,10,4,服装,上衣,卫衣,1261.26,1,1.0,1261.26,CUST-23104,孙玲,上海市,虹口区,福建省兴安盟县萧山杨路l座 535454,新格林耐特科技有限公司电商店铺,4,银联,2
ORD-20240127-00022,2024-01-27,2024,1,27,1,美妆,常规,美妆商品21,887.61,1,1.0,887.61,CUST-49651,郭坤,湖南省,岳阳市,福建省小红市闵行邱街o座 934957,鑫博腾飞信息有限公司电商店铺,4,支付宝,3
ORD-20230626-00023,2023-06-26,2023,6,26,2,服装,上衣,夏季短袖,353.12,1,0.75,264.84,CUST-54942,周玉英,江苏省,无锡市,新疆维吾尔自治区秀珍县魏都辽阳街m座 574989,创亿网络有限公司电商店铺,4,支付宝,2
ORD-20240517-00024,2024-05-17,2024,5,17,2,美妆,常规,美妆商品6,27.02,1,1.0,27.02,CUST-93507,雷英,浙江省,宁波市,四川省邯郸市丰都王街S座 871094,创联世纪网络有限公司电商店铺,3,货到付款,1
ORD-20220818-00025,2022-08-18,2022,8,18,3,服装,内衣,内裤,1113.9,3,1.0,3341.7,CUST-86350,徐彬,湖北省,宜昌市,湖南省林市崇文沈阳街Z座 413186,华远软件传媒有限公司电商店铺,4,支付宝,6
ORD-20230307-00026,2023-03-07,2023,3,7,1,食品,常规,食品商品86,223.53,1,1.0,223.53,CUST-63264,徐玉,湖南省,株洲市,宁夏回族自治区飞市安次潘街l座 820679,凌云科技有限公司电商店铺,4,支付宝,7
ORD-20220321-00027,2022-03-21,2022,3,21,1,母婴,常规,母婴商品29,415.15,2,1.0,830.3,CUST-55830,王玉兰,浙江省,宁波市,新疆维吾尔自治区福州县友好关岭街r座 510249,趋势信息有限公司电商店铺,2,银联,6
ORD-20241109-00028,2024-11-09,2024,11,9,4,玩具,常规,玩具商品43,1879.69,2,0.55,2067.66,CUST-44237,李莉,广东省,珠海市,湖北省丽丽市兴山许街o座 949027,黄石金承科技有限公司电商店铺,3,信用卡,10
ORD-20241113-00029,2024-11-13,2024,11,13,4,服装,连衣裙,长裙,420.65,1,0.81,340.73,CUST-78146,俞博,湖北省,宜昌市,台湾省深圳县朝阳董街A座 246807,维涛网络有限公司电商店铺,2,银联,10
ORD-20231005-00030,2023-10-05,2023,10,5,4,服装,内衣,睡衣,1038.89,2,1.0,2077.78,CUST-52753,刘林,河南省,开封市,香港特别行政区关岭县朝阳柳州路O座 503482,商软冠联科技有限公司电商店铺,3,信用卡,3
ORD-20230909-00031,2023-09-09,2023,9,9,3,运动,常规,运动商品71,1670.78,1,1.0,1670.78,CUST-37549,施桂芝,河南省,许昌市,上海市南京县永川广州街h座 874846,同兴万点信息有限公司电商店铺,5,信用卡,4
ORD-20241112-00032,2024-11-12,2024,11,12,4,家居,家具,床,2591.8,1,0.75,1943.85,CUST-53933,刘峰,上海市,静安区,山东省石家庄县大兴阎路L座 627875,时空盒数字信息有限公司电商店铺,3,微信支付,1
ORD-20220405-00033,2022-04-05,2022,4,5,2,食品,常规,食品商品61,1230.32,5,1.0,6151.6,CUST-69692,孙凤英,河南省,许昌市,福建省敏县兴山魏路Q座 670289,济南亿次元传媒有限公司电商店铺,5,信用卡,4
ORD-20221030-00034,2022-10-30,2022,10,30,4,电子产品,手机,小米14,2578.99,5,1.0,12894.95,CUST-77889,向丽丽,山东省,济南市,澳门特别行政区洋市朝阳深圳路N座 815865,商软冠联科技有限公司电商店铺,4,货到付款,9
ORD-20231012-00035,2023-10-12,2023,10,12,4,母婴,常规,母婴商品79,1633.71,3,1.0,4901.13,CUST-65933,冯静,湖北省,荆州市,江西省荆门市东丽邯郸街u座 445562,兰金电子传媒有限公司电商店铺,5,银联,4
ORD-20230722-00036,2023-07-22,2023,7,22,3,玩具,常规,玩具商品63,1260.96,1,0.72,907.89,CUST-47450,郑博,江苏省,无锡市,安徽省海门市永川佛山路q座 874821,同兴万点网络有限公司电商店铺,4,微信支付,3
ORD-20230419-00037,2023-04-19,2023,4,19,2,运动,常规,运动商品89,322.55,1,0.8,258.04,CUST-53369,满梅,湖北省,荆州市,湖南省莉市高明台北路K座 140640,凌云网络有限公司电商店铺,3,支付宝,10
ORD-20240219-00038,2024-02-19,2024,2,19,1,母婴,常规,母婴商品1,1886.63,2,0.8,3018.61,CUST-64921,黎玉兰,湖北省,黄石市,海南省南宁县海港沈阳路L座 321456,同兴万点信息有限公司电商店铺,5,银联,7
ORD-20240921-00039,2024-09-21,2024,9,21,3,电子产品,音响,索尼WH-1000XM5,6854.3,1,1.0,6854.3,CUST-31632,李云,山东省,青岛市,黑龙江省秀华县怀柔戚街R座 585160,恒聪百汇信息有限公司电商店铺,5,货到付款,10
ORD-20220225-00040,2022-02-25,2022,2,25,1,服装,内衣,袜子,314.61,1,1.0,314.61,CUST-16590,孙燕,浙江省,嘉兴市,四川省福州县高港石家庄路P座 812004,毕博诚科技有限公司电商店铺,3,信用卡,5
ORD-20240513-00041,2024-05-13,2024,5,13,2,美妆,常规,美妆商品11,951.21,1,1.0,951.21,CUST-16826,李亮,四川省,绵阳市,新疆维吾尔自治区婷婷市大兴冯路S座 237735,天开网络有限公司电商店铺,1,货到付款,3
ORD-20230504-00042,2023-05-04,2023,5,4,2,家居,装饰品,挂画,2832.93,1,0.87,2464.65,CUST-58351,高兰英,广东省,珠海市,陕西省坤市静安天津街p座 493183,同兴万点信息有限公司电商店铺,5,银联,2
ORD-20220222-00043,2022-02-22,2022,2,22,1,美妆,常规,美妆商品74,1361.15,4,1.0,5444.6,CUST-61990,杨峰,江苏省,南京市,湖北省太原县南湖太原街Y座 195024,精芯科技有限公司电商店铺,5,支付宝,5
ORD-20220905-00044,2022-09-05,2022,9,5,3,珠宝,常规,珠宝商品6,707.46,1,1.0,707.46,CUST-58571,钟林,上海市,虹口区,西藏自治区畅市徐汇柳州路P座 807661,天开网络有限公司电商店铺,2,信用卡,2
ORD-20240606-00045,2024-06-06,2024,6,6,2,图书,常规,图书商品82,1785.32,2,1.0,3570.64,CUST-30052,王浩,河南省,洛阳市,辽宁省太原县吉区孙路Y座 783673,联通时科信息有限公司电商店铺,4,货到付款,9
ORD-20240917-00046,2024-09-17,2024,9,17,3,母婴,常规,母婴商品56,1654.95,1,1.0,1654.95,CUST-52245,尹莹,江苏省,南京市,河北省琳县金平深圳街f座 161528,晖来计算机传媒有限公司电商店铺,5,信用卡,10
ORD-20240216-00047,2024-02-16,2024,2,16,1,图书,常规,图书商品4,998.73,2,1.0,1997.46,CUST-73904,董秀梅,江苏省,无锡市,宁夏回族自治区太原县涪城长沙路g座 485149,黄石金承科技有限公司电商店铺,2,银联,9
ORD-20241124-00048,2024-11-24,2024,11,24,4,食品,常规,食品商品11,497.88,2,1.0,995.76,CUST-82768,顾杰,江苏省,常州市,上海市通辽县怀柔昆明街e座 701836,天开网络有限公司电商店铺,4,支付宝,2
ORD-20230826-00049,2023-08-26,2023,8,26,3,食品,常规,食品商品52,1389.74,1,1.0,1389.74,CUST-86225,杨洁,四川省,南充市,广西壮族自治区沈阳市长寿通辽路F座 664381,商软冠联科技有限公司电商店铺,4,货到付款,6
ORD-20240718-00050,2024-07-18,2024,7,18,3,美妆,常规,美妆商品40,517.78,6,0.75,2330.01,CUST-25670,李桂芝,湖北省,宜昌市,天津市巢湖市西夏管街s座 310762,济南亿次元传媒有限公司电商店铺,3,货到付款,9
ORD-20230803-00051,2023-08-03,2023,8,3,3,服装,裤子,运动裤,493.59,3,0.7,1036.54,CUST-80010,何娜,广东省,佛山市,内蒙古自治区刚县秀英辽阳路T座 341605,襄樊地球村科技有限公司电商店铺,4,信用卡,2
ORD-20220126-00052,2022-01-26,2022,1,26,1,珠宝,常规,珠宝商品37,949.41,5,1.0,4747.05,CUST-34164,雷畅,北京市,东城区,宁夏回族自治区海口县崇文孔路v座 418188,艾提科信信息有限公司电商店铺,4,支付宝,3
ORD-20221102-00053,2022-11-02,2022,11,2,4,珠宝,常规,珠宝商品39,188.66,4,0.84,633.9,CUST-64548,黄峰,湖南省,岳阳市,河北省香港市南湖贵阳路W座 899552,恒聪百汇信息有限公司电商店铺,3,信用卡,8
ORD-20230901-00054,2023-09-01,2023,9,1,3,珠宝,常规,珠宝商品55,624.65,2,1.0,1249.3,CUST-89905,马莉,上海市,静安区,重庆市璐市白云王路e座 999867,易动力传媒有限公司电商店铺,2,微信支付,4
ORD-20221222-00055,2022-12-22,2022,12,22,4,玩具,常规,玩具商品10,329.93,4,1.0,1319.72,CUST-87832,徐坤,山东省,烟台市,西藏自治区呼和浩特县高坪东莞街p座 678892,襄樊地球村科技有限公司电商店铺,2,信用卡,2
ORD-20230424-00056,2023-04-24,2023,4,24,2,美妆,常规,美妆商品81,1187.78,1,1.0,1187.78,CUST-35928,柳冬梅,河南省,郑州市,贵州省北镇市新城陈街f座 254629,时空盒数字网络有限公司电商店铺,4,银联,3
ORD-20220527-00057,2022-05-27,2022,5,27,2,电子产品,电脑,惠普Spectre,6152.92,1,1.0,6152.92,CUST-47828,罗玉英,山东省,济南市,澳门特别行政区嘉禾县秀英张街X座 533221,天开网络有限公司电商店铺,5,银联,9
ORD-20241008-00058,2024-10-08,2024,10,8,4,母婴,常规,母婴商品11,1204.11,1,1.0,1204.11,CUST-52247,林明,湖南省,湘潭市,江苏省建军市浔阳王路C座 873834,创亿网络有限公司电商店铺,5,支付宝,5
ORD-20220324-00059,2022-03-24,2022,3,24,1,家居,装饰品,抱枕,3268.0,1,1.0,3268.0,CUST-33788,黄丽丽,湖南省,衡阳市,河南省桂花县长寿香港街x座 581412,易动力传媒有限公司电商店铺,4,银联,2
ORD-20221126-00060,2022-11-26,2022,11,26,4,图书,常规,图书商品53,1393.47,1,0.94,1309.86,CUST-82102,岳峰,北京市,西城区,山西省大冶县高港巢湖路y座 653051,艾提科信网络有限公司电商店铺,4,信用卡,9
ORD-20220103-00061,2022-01-03,2022,1,3,1,玩具,常规,玩具商品60,838.23,1,0.79,662.2,CUST-75338,李玉兰,山东省,济南市,江苏省秀芳市海陵张街h座 734103,新格林耐特科技有限公司电商店铺,3,银联,8
ORD-20240919-00062,2024-09-19,2024,9,19,3,服装,上衣,夏季短袖,1608.66,3,1.0,4825.98,CUST-50730,王瑜,湖北省,武汉市,香港特别行政区武汉县房山刘路Q座 985188,商软冠联科技有限公司电商店铺,4,支付宝,8
ORD-20221112-00063,2022-11-12,2022,11,12,4,母婴,常规,母婴商品92,597.89,1,1.0,597.89,CUST-64459,吴桂香,山东省,潍坊市,云南省娟市涪城刘街i座 858527,凌云科技有限公司电商店铺,4,微信支付,10
ORD-20221007-00064,2022-10-07,2022,10,7,4,服装,鞋子,高跟鞋,712.76,1,1.0,712.76,CUST-45018,秦鑫,北京市,东城区,天津市杨市友好霍路q座 534505,联通时科信息有限公司电商店铺,3,信用卡,3
ORD-20240703-00065,2024-07-03,2024,7,3,3,玩具,常规,玩具商品62,703.35,2,1.0,1406.7,CUST-81228,侯淑兰,河南省,新乡市,青海省雪市永川舒路U座 516928,毕博诚科技有限公司电商店铺,3,信用卡,1
ORD-20231014-00066,2023-10-14,2023,10,14,4,母婴,常规,母婴商品91,1828.59,1,1.0,1828.59,CUST-96991,李晶,广东省,东莞市,广东省琳市黄浦王路r座 116582,襄樊地球村科技有限公司电商店铺,4,信用卡,2
ORD-20241213-00067,2024-12-13,2024,12,13,4,母婴,常规,母婴商品2,1450.44,3,1.0,4351.32,CUST-95823,郝丽丽,广东省,广州市,江苏省台北县清浦长沙路x座 719285,艾提科信信息有限公司电商店铺,5,货到付款,7
ORD-20220614-00068,2022-06-14,2022,6,14,2,玩具,常规,玩具商品49,1909.2,1,1.0,1909.2,CUST-73956,萧艳,湖北省,武汉市,上海市汕尾县平山魏街S座 331217,恒聪百汇信息有限公司电商店铺,5,支付宝,2
ORD-20240627-00069,2024-06-27,2024,6,27,2,家居,床上用品,四件套,258.58,7,1.0,1810.06,CUST-48452,危玉珍,四川省,德阳市,内蒙古自治区梅市南湖济南街p座 805895,华远软件传媒有限公司电商店铺,3,货到付款,3
ORD-20221215-00070,2022-12-15,2022,12,15,4,家居,家具,书架,4358.07,3,1.0,13074.21,CUST-41566,邓健,山东省,临沂市,广东省荣县朝阳辽阳街D座 728922,华远软件信息有限公司电商店铺,3,信用卡,5
ORD-20220120-00071,2022-01-20,2022,1,20,1,母婴,常规,母婴商品37,1361.67,1,0.81,1102.95,CUST-55293,雷建军,湖南省,湘潭市,黑龙江省兴城市六枝特香港街i座 398182,易动力传媒有限公司电商店铺,4,信用卡,8
ORD-20220807-00072,2022-08-07,2022,8,7,3,食品,常规,食品商品49,1152.41,1,1.0,1152.41,CUST-48696,潘雪,北京市,西城区,上海市长春县安次汕尾路E座 364710,晖来计算机传媒有限公司电商店铺,5,银联,4
ORD-20230125-00073,2023-01-25,2023,1,25,1,家居,家具,电视柜,3242.31,3,0.62,6030.7,CUST-67779,赵丽华,北京市,丰台区,贵州省辽阳县六枝特张家港街p座 214732,维涛网络有限公司电商店铺,5,银联,6
ORD-20240430-00074,2024-04-30,2024,4,30,2,家居,厨具,刀具,3938.97,2,1.0,7877.94,CUST-57953,陈海燕,湖北省,黄石市,福建省兴城县南长赫路t座 401687,晖来计算机传媒有限公司电商店铺,5,信用卡,5
ORD-20231125-00075,2023-11-25,2023,11,25,4,服装,连衣裙,雪纺连衣裙,324.48,2,1.0,648.96,CUST-98647,谢辉,河南省,许昌市,河南省桂香县丰都荆门街U座 965060,维涛网络有限公司电商店铺,3,银联,9
ORD-20220911-00076,2022-09-11,2022,9,11,3,母婴,常规,母婴商品48,1352.2,3,1.0,4056.6,CUST-86619,黄玉兰,河南省,开封市,云南省萍市城北黄路W座 139868,创亿传媒有限公司电商店铺,5,货到付款,9
ORD-20231103-00077,2023-11-03,2023,11,3,4,珠宝,常规,珠宝商品29,1302.35,1,1.0,1302.35,CUST-70852,王颖,浙江省,嘉兴市,澳门特别行政区建国市吉区巢湖路G座 694705,超艺网络有限公司电商店铺,4,支付宝,4
ORD-20221005-00078,2022-10-05,2022,10,5,4,运动,常规,运动商品59,754.6,1,1.0,754.6,CUST-80804,官秀珍,河南省,许昌市,西藏自治区娜市和平张街K座 330756,创联世纪网络有限公司电商店铺,5,货到付款,7
ORD-20230727-00079,2023-07-27,2023,7,27,3,电子产品,耳机,索尼WF-1000XM4,2564.06,1,1.0,2564.06,CUST-40947,蒋秀梅,四川省,成都市,重庆市柳州市吉区陈街I座 485497,时空盒数字信息有限公司电商店铺,3,银联,1
ORD-20240326-00080,2024-03-26,2024,3,26,1,美妆,常规,美妆商品25,1937.05,3,1.0,5811.15,CUST-69600,陈梅,上海市,静安区,广东省利县花溪郑路h座 565240,天开网络有限公司电商店铺,3,微信支付,10
ORD-20220521-00081,2022-05-21,2022,5,21,2,玩具,常规,玩具商品27,1181.04,2,1.0,2362.08,CUST-40539,杨玉,四川省,绵阳市,西藏自治区拉萨县孝南台北街Q座 830165,同兴万点信息有限公司电商店铺,4,银联,3
ORD-20220814-00082,2022-08-14,2022,8,14,3,电子产品,电脑,MacBook Pro,3903.3,1,1.0,3903.3,CUST-87182,余成,四川省,成都市,黑龙江省淑华县友好陈街P座 180262,立信电子信息有限公司电商店铺,4,信用卡,9
ORD-20220821-00083,2022-08-21,2022,8,21,3,服装,连衣裙,夏季碎花裙,1567.13,1,1.0,1567.13,CUST-24293,韦彬,山东省,临沂市,天津市邯郸市新城阚路G座 843152,趋势信息有限公司电商店铺,4,支付宝,1
ORD-20240402-00084,2024-04-02,2024,4,2,2,运动,常规,运动商品88,233.76,1,1.0,233.76,CUST-68138,丁洋,上海市,浦东新区,河南省贵阳县房山马鞍山街i座 453046,毕博诚科技有限公司电商店铺,4,银联,10
ORD-20231028-00085,2023-10-28,2023,10,28,4,运动,常规,运动商品77,1070.5,1,1.0,1070.5,CUST-89354,谭玉英,河南省,郑州市,北京市畅市清河陈路S座 345933,襄樊地球村科技有限公司电商店铺,3,货到付款,4
ORD-20240713-00086,2024-07-13,2024,7,13,3,食品,常规,食品商品53,691.08,2,1.0,1382.16,CUST-64524,张柳,上海市,徐汇区,西藏自治区海口市梁平李街J座 998225,华远软件传媒有限公司电商店铺,3,微信支付,8
ORD-20220518-00087,2022-05-18,2022,5,18,2,服装,上衣,纯棉T恤,892.16,2,1.0,1784.32,CUST-58843,李文,广东省,珠海市,山西省华县城北郑路U座 264039,戴硕电子科技有限公司电商店铺,4,银联,2
ORD-20240421-00088,2024-04-21,2024,4,21,2,图书,常规,图书商品86,1883.44,4,1.0,7533.76,CUST-16743,周鑫,浙江省,湖州市,内蒙古自治区超县朝阳宁德路C座 261825,中建创业信息有限公司电商店铺,4,微信支付,3
ORD-20240914-00089,2024-09-14,2024,9,14,3,食品,常规,食品商品14,713.23,1,1.0,713.23,CUST-25058,初秀荣,浙江省,湖州市,江西省天津县普陀薛街w座 143106,趋势信息有限公司电商店铺,4,支付宝,10
ORD-20230702-00090,2023-07-02,2023,7,2,3,电子产品,电脑,惠普Spectre,7175.64,1,1.0,7175.64,CUST-54541,张帅,四川省,成都市,青海省海口市崇文关岭街i座 639599,立信电子信息有限公司电商店铺,5,信用卡,2
ORD-20221018-00091,2022-10-18,2022,10,18,4,电子产品,手机,三星S22,2543.76,2,1.0,5087.52,CUST-54681,陈建,广东省,佛山市,甘肃省丹市南湖王路Y座 366246,中建创业信息有限公司电商店铺,5,货到付款,10
ORD-20220623-00092,2022-06-23,2022,6,23,2,电子产品,电脑,联想ThinkPad,7667.14,3,0.72,16561.02,CUST-68079,刘芳,河南省,新乡市,辽宁省华县大兴刘街P座 175183,同兴万点信息有限公司电商店铺,4,货到付款,2
ORD-20231208-00093,2023-12-08,2023,12,8,4,运动,常规,运动商品15,580.83,2,1.0,1161.66,CUST-73783,吴刚,湖北省,襄阳市,山东省潮州市新城南昌街V座 939363,襄樊地球村科技有限公司电商店铺,4,支付宝,1
ORD-20241015-00094,2024-10-15,2024,10,15,4,运动,常规,运动商品23,275.79,3,1.0,827.37,CUST-40161,石春梅,湖北省,黄石市,海南省秀兰县璧山李路n座 356093,趋势信息有限公司电商店铺,5,货到付款,7
ORD-20240505-00095,2024-05-05,2024,5,5,2,美妆,常规,美妆商品15,821.96,1,1.0,821.96,CUST-32527,刘丽娟,湖南省,衡阳市,辽宁省北镇市淄川罗路W座 377252,襄樊地球村科技有限公司电商店铺,5,货到付款,7
ORD-20241209-00096,2024-12-09,2024,12,9,4,服装,连衣裙,吊带裙,1504.32,2,0.89,2677.69,CUST-20011,张飞,湖北省,武汉市,内蒙古自治区北京县海港长沙街G座 850997,兰金电子科技有限公司电商店铺,4,银联,6
ORD-20221030-00097,2022-10-30,2022,10,30,4,食品,常规,食品商品14,309.96,1,0.85,263.47,CUST-95918,王秀梅,上海市,静安区,上海市玉兰市长寿银川街p座 798454,同兴万点网络有限公司电商店铺,4,货到付款,10
ORD-20240708-00098,2024-07-08,2024,7,8,3,珠宝,常规,珠宝商品83,1277.89,1,1.0,1277.89,CUST-92210,黄秀云,四川省,绵阳市,福建省邯郸市清城吴路O座 221765,通际名联传媒有限公司电商店铺,3,银联,5
ORD-20220426-00099,2022-04-26,2022,4,26,2,图书,常规,图书商品65,166.9,1,1.0,166.9,CUST-14929,刘淑华,北京市,东城区,天津市兴安盟市南湖杭州街e座 929396,银嘉信息有限公司电商店铺,5,货到付款,7
ORD-20240805-00100,2024-08-05,2024,8,5,3,珠宝,常规,珠宝商品71,1909.38,1,1.0,1909.38,CUST-15376,吴成,山东省,临沂市,香港特别行政区鹏市门头沟阜新路b座 777358,天开网络有限公司电商店铺,3,货到付款,3
ORD-20220507-00101,2022-05-07,2022,5,7,2,母婴,常规,母婴商品14,1625.71,2,1.0,3251.42,CUST-21053,张春梅,湖北省,宜昌市,河南省乌鲁木齐市孝南吕街u座 611047,襄樊地球村科技有限公司电商店铺,4,信用卡,9
ORD-20241206-00102,2024-12-06,2024,12,6,4,珠宝,常规,珠宝商品21,740.52,1,1.0,740.52,CUST-60779,李健,河南省,开封市,宁夏回族自治区桂荣市高港罗路a座 966183,时空盒数字信息有限公司电商店铺,5,银联,2
ORD-20231107-00103,2023-11-07,2023,11,7,4,服装,外套,西装,604.09,2,1.0,1208.18,CUST-96057,叶兵,湖南省,株洲市,湖北省玲县沙市荆门路t座 415437,同兴万点网络有限公司电商店铺,5,信用卡,3
ORD-20220623-00104,2022-06-23,2022,6,23,2,美妆,常规,美妆商品72,765.83,4,1.0,3063.32,CUST-26750,李莉,湖北省,武汉市,陕西省春梅县黄浦白街u座 575265,天开网络有限公司电商店铺,4,支付宝,6
ORD-20230925-00105,2023-09-25,2023,9,25,3,家居,厨具,厨房电器,4739.91,1,1.0,4739.91,CUST-39693,宗丽,广东省,深圳市,云南省秀荣县沙湾重庆路C座 416724,华远软件网络有限公司电商店铺,3,货到付款,9
ORD-20241214-00106,2024-12-14,2024,12,14,4,电子产品,耳机,索尼WF-1000XM4,8825.73,1,1.0,8825.73,CUST-88282,潘玉华,河南省,洛阳市,内蒙古自治区荣县丰都淮安街X座 752909,兰金电子传媒有限公司电商店铺,3,货到付款,3
ORD-20240615-00107,2024-06-15,2024,6,15,2,图书,常规,图书商品87,1444.78,3,0.89,3857.56,CUST-90031,冷雪梅,浙江省,嘉兴市,北京市澳门市璧山黄路w座 271461,趋势信息有限公司电商店铺,4,信用卡,4
ORD-20240124-00108,2024-01-24,2024,1,24,1,珠宝,常规,珠宝商品57,934.13,1,0.8,747.3,CUST-79135,杨慧,河南省,洛阳市,浙江省倩县东丽杨路Z座 905123,济南亿次元传媒有限公司电商店铺,4,银联,1
ORD-20240911-00109,2024-09-11,2024,9,11,3,图书,常规,图书商品71,1869.9,1,1.0,1869.9,CUST-77621,罗玉英,上海市,徐汇区,新疆维吾尔自治区马鞍山市浔阳王街L座 260334,艾提科信网络有限公司电商店铺,5,货到付款,3
ORD-20240614-00110,2024-06-14,2024,6,14,2,食品,常规,食品商品58,1771.57,1,0.87,1541.27,CUST-64381,侯彬,北京市,西城区,广西壮族自治区宜都市沈北新唐路w座 279249,创亿网络有限公司电商店铺,4,支付宝,6
